csccsr
matrix,sparskit,mkl,taco,taco (w/o extension),ours1,ours2
pdb1HYS,        ,        ,        ,        ,        ,        
jnlbrng1,        ,        ,        ,        ,        ,        
obstclae,        ,        ,        ,        ,        ,        
chem_master1,0.997   ,1.124   ,1.095   ,        ,        ,        
rma10,30.064  ,26.795  ,29.789  ,        ,        ,        
dixmaanl,        ,        ,        ,        ,        ,        
cant,        ,        ,        ,        ,        ,        
shyy161,1.563   ,1.83    ,1.661   ,        ,        ,        
consph,        ,        ,        ,        ,        ,        
denormal,        ,        ,        ,        ,        ,        
Baumann,4.155   ,4.391   ,4.37    ,        ,        ,        
cop20k_A,        ,        ,        ,        ,        ,        
shipsec1,        ,        ,        ,        ,        ,        
majorbasis,10.971  ,11.667  ,12.073  ,        ,        ,        
scircuit,14.741  ,15.459  ,16.606  ,        ,        ,        
mac_econ_fwd500,10.083  ,11.216  ,11.42   ,        ,        ,        
pwtk,        ,        ,        ,        ,        ,        
Lin,        ,        ,        ,        ,        ,        
ecology1,        ,        ,        ,        ,        ,        
webbase_1M,53.359  ,53.841  ,55.494  ,        ,        ,        
atmosmodd,123.123 ,126.284 ,131.164 ,        ,        ,        
geomean,10.851  ,11.43   ,11.647  ,        ,        ,        
