cscdia
matrix,sparskit,mkl,taco,taco (w/o extension),ours1,ours2
pdb1HYS,        ,        ,        ,        ,        ,        
jnlbrng1,1.392   ,1.274   ,0.729   ,        ,        ,        
obstclae,1.386   ,1.262   ,0.727   ,        ,        ,        
chem_master1,4.782   ,4.462   ,0.745   ,        ,        ,        
rma10,        ,        ,        ,        ,        ,        
dixmaanl,2.446   ,2.169   ,1.191   ,        ,        ,        
cant,146.133 ,150.425 ,47.6    ,        ,        ,        
shyy161,9.323   ,4.395   ,1.444   ,        ,        ,        
consph,        ,        ,        ,        ,        ,        
denormal,8.901   ,9.995   ,3.795   ,        ,        ,        
Baumann,18.862  ,17.644  ,2.836   ,        ,        ,        
cop20k_A,        ,        ,        ,        ,        ,        
shipsec1,        ,        ,        ,        ,        ,        
majorbasis,30.506  ,33.224  ,8.195   ,        ,        ,        
scircuit,        ,        ,        ,        ,        ,        
mac_econ_fwd500,        ,        ,        ,        ,        ,        
pwtk,        ,        ,        ,        ,        ,        
Lin,13.209  ,12.367  ,6.696   ,        ,        ,        
ecology1,55.308  ,51.91   ,38.382  ,        ,        ,        
webbase_1M,        ,        ,        ,        ,        ,        
atmosmodd,225.158 ,223.429 ,67.011  ,        ,        ,        
geomean,13.115  ,11.969  ,4.374   ,        ,        ,        
