matrix,sparskit,mkl,taco,ours1,ours2
pdb1HYS,73.4547,64.6011,73.3327,326.589,34.130483
jnlbrng1,1.0836,1.12009,1.07495,13.039,0.537699
obstclae,1.09308,1.11238,1.09999,12.938,0.531831
chem_master1,1.06577,1.1297,1.09998,26.839,1.122264
rma10,29.7052,26.1542,29.2662,563.097,48.041591
dixmaanl,1.74793,1.84996,1.80137,20.380,0.982157
cant,26.8276,26.1288,27.9146,270.644,18.782992
shyy161,1.59377,1.82615,1.63699,52.165,1.816277
consph,91.8738,84.0322,92.1068,439.310,36.033330
Baumann,4.23146,4.34347,4.41564,141.582,5.294448
cop20k_A,72.3654,66.7351,75.4609,185.294,36.144413
shipsec1,110.809,105.586,108.93,568.230,40.716973
majorbasis,10.7909,11.2903,12.1626,396.899,17.722117
scircuit,13.8818,15.2773,16.3838,227.565,16.207874
mac_econ_fwd500,10.688,11.822,12.453,291.699306,16.985166
pwtk,127.966,125.003,126.611,914.372,51.237373
Lin,11.5686,12.2954,12.2177,135.576,6.676511
ecology1,48.2156,50.4807,48.3593,445.557,24.013059
webbase_1M,52.1915,53.1718,54.1304,860.517,69.130075
atmosmodd,123.213,125.145,131.127,3345.616,81.484615
