csrdia
matrix,sparskit,mkl,taco,taco (w/o extension),ours1,ours2
pdb1HYS,        ,        ,        ,        ,        ,        
jnlbrng1,1.392   ,1.274   ,0.729   ,        ,        ,        
obstclae,1.386   ,1.262   ,0.727   ,        ,        ,        
chem_master1,1.407   ,1.283   ,0.748   ,        ,        ,        
rma10,        ,        ,        ,        ,        ,        
dixmaanl,2.446   ,2.169   ,1.191   ,        ,        ,        
cant,146.133 ,150.425 ,47.6    ,        ,        ,        
shyy161,2.95    ,2.608   ,1.432   ,        ,        ,        
consph,        ,        ,        ,        ,        ,        
denormal,8.901   ,9.995   ,3.795   ,        ,        ,        
Baumann,6.073   ,5.349   ,2.814   ,        ,        ,        
cop20k_A,        ,        ,        ,        ,        ,        
shipsec1,        ,        ,        ,        ,        ,        
majorbasis,19.275  ,21.654  ,7.742   ,        ,        ,        
scircuit,        ,        ,        ,        ,        ,        
mac_econ_fwd500,        ,        ,        ,        ,        ,        
pwtk,        ,        ,        ,        ,        ,        
Lin,13.209  ,12.367  ,6.696   ,        ,        ,        
ecology1,55.308  ,51.91   ,38.382  ,        ,        ,        
webbase_1M,        ,        ,        ,        ,        ,        
atmosmodd,102.046 ,97.257  ,67.344  ,        ,        ,        
geomean,8.822   ,8.419   ,4.351   ,        ,        ,        
